,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"겨울엔 살쪄도됨;; 맘 놓고 야무지게 먹는 1박2일 강릉여행❄️ (부산↔강릉 ITX 직통열차🚆, 삼숙이탕, 오징어회, 불짬뽕빵, 강릉수제맥주, 눈썰매장, 딸기체험)",1박 2일,1,1,0:00,강릉역 (고속철도),강원특별자치도 강릉시 용지로 176,기타,"185,385",🎥 영상 보기
,1박 2일,1,2,0:00,해성횟집,강원특별자치도 강릉시 금성로 21 중앙시장,맛집,,🎥 영상 보기
,1박 2일,1,3,0:00,강릉 아리곳간,강원특별자치도 강릉시 금성로23번길 17-1 1층 강릉아리곳간,맛집,,🎥 영상 보기
,1박 2일,1,4,0:00,유리알유희 소품샵,강원특별자치도 강릉시 창해로 351-2,기타,,🎥 영상 보기
,1박 2일,1,5,0:00,갤러리밥스,강원특별자치도 강릉시 난설헌로 144 82-7 갤러리밥스,카페,,🎥 영상 보기
,1박 2일,1,6,0:00,우주딸기,강원특별자치도 강릉시 연곡면 동해대로 4146 우주딸기,관광지,,🎥 영상 보기
,1박 2일,1,7,0:00,안목을높이다,강원특별자치도 강릉시 창해로 27 안목을 높이다,기타,,🎥 영상 보기
,1박 2일,1,8,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박 2일,2,9,0:00,짬뽕 순두부 초당애,강원특별자치도 강릉시 해안로 388 초당애 (씨에스타 건물 2층),맛집,,🎥 영상 보기
,1박 2일,2,10,0:00,이진리,강원특별자치도 강릉시 임영로 234 이진리,카페,,🎥 영상 보기
,1박 2일,2,11,0:00,두에시스,강원특별자치도 강릉시 금성로14번길 7 성호빌딩2층,카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
나혼자 강릉 1박2일🌊너 맨날 강릉만 가냐? 강릉광공의 3키로 쪄서 돌아온 먹방여행,1박 2일,1,1,0:00,동해일미,강원특별자치도 강릉시 경강로2024번길 29,맛집,"18,569",🎥 영상 보기
,1박 2일,1,2,0:00,세라비과자점,강원 강릉시 경강로2095번길 8,카페,,🎥 영상 보기
,1박 2일,1,3,0:00,삶은감자,강원특별자치도 강릉시 임영로 197-1 1층,관광지,,🎥 영상 보기
,1박 2일,1,4,0:00,오어즈,강원특별자치도 강릉시 임영로 193 2층,관광지,,🎥 영상 보기
,1박 2일,1,5,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
,1박 2일,1,6,0:00,바로방,강원특별자치도 강릉시 옥가로 14,맛집,,🎥 영상 보기
,1박 2일,1,7,0:00,강릉 제이나인 스파펜션,강원특별자치도 강릉시 난설헌로 247 J9펜션,기타,,🎥 영상 보기
,1박 2일,1,8,0:00,사근진해변,강원특별자치도 강릉시 해안로604번길 16,관광지,,🎥 영상 보기
,1박 2일,1,9,0:00,최일순 짬뽕순두부,강원특별자치도 강릉시 해안로 517,맛집,,🎥 영상 보기
,1박 2일,1,10,0:00,스타벅스 강릉강문해변점,강원특별자치도 강릉시 창해로350번길 3 (강문동),관광지,,🎥 영상 보기
,1박 2일,1,11,0:00,강릉원조누룽지 황금오징어순대,강원특별자치도 강릉시 금성로 4 강릉원조누룽지 황금오징어순대,맛집,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박 2일,2,12,0:00,꾸옥 GGUOK,강원특별자치도 강릉시 창해로 378 1층,카페,,🎥 영상 보기
,1박 2일,2,13,0:00,스타벅스 강릉강문해변점,강원특별자치도 강릉시 창해로350번길 3 (강문동),관광지,,🎥 영상 보기
,1박 2일,2,14,0:00,애시당초,강원특별자치도 강릉시 초당원길 63 1층,카페,,🎥 영상 보기
,1박 2일,2,15,0:00,메밀향기,강원특별자치도 강릉시 초당원길 59-6,맛집,,🎥 영상 보기
,1박 2일,2,16,0:00,초당커피정미소 본점,강원특별자치도 강릉시 초당원길 67,카페,,🎥 영상 보기
,1박 2일,2,17,0:00,만동제과 강릉점,강원특별자치도 강릉시 금성로 6 1층 만동제과,맛집,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
SUB) 강릉 1박2일 여행 • 엄지네꼬막 • 카페툇마루 • 9남매두부집 • 갤러리밥스 • 초당옥수수커피 • 오징어순대 • 스카이베이 • 중앙시장 • 안목해변,1박 2일,1,1,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,"6,416",🎥 영상 보기
,1박 2일,1,2,0:00,안목해변,강원특별자치도 강릉시 창해로14번길 20-1,관광지,,🎥 영상 보기
